scenario,rep,lam,L_max,method,E,rounds,rate_multiplier,client_rate,validation_mse,selected_vector_upload_bytes,standalone_all_candidate_vector_bytes,standalone_setup_scalar_bytes,standalone_validation_scalar_bytes,standalone_total_upload_bytes,selected_local_steps,all_candidate_local_steps,local_unit,F1,active,objective,objective_gap,kkt_mapping,test_mse
IID,5036,0.3669722599869383,8.374290813044627,FedAvg-CD-common,20,100,,,,1440000.0,1440000.0,24.0,0.0,1440024.0,2000.0,2000.0,cyclic CD sweep,0.225,210,21.314440690072235,2.226680763496404,0.2902510684678674,35.090448684843196
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,20,100,0.1,0.01194130968609665,32.22351052551455,1440000.0,4320000.0,48.0,72.0,4320120.0,2000.0,6000.0,cached full-gradient evaluation,0.6823529411764706,55,19.090485700004486,0.002725773428654321,0.028108677509489643,31.238111260699014
IID,5036,0.3669722599869383,8.374290813044627,Pooled-common,0,0,,,,,,,,,,,,0.6666666666666666,57,19.08775992657583,0.0,5.314360063124468e-12,31.157552156165476
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,1,5,,,,72000.0,72000.0,24.0,0.0,72024.0,5.0,5.0,cyclic CD sweep,0.1892744479495268,287,21.202092217289376,2.1316592721773553,0.22694819101328653,34.74931036372311
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,1,5,1.0,0.11814070899477513,39.03170190789264,72000.0,216000.0,48.0,72.0,216120.0,5.0,15.0,cached full-gradient evaluation,0.4461538461538462,100,20.291881281605537,1.2214483364935163,0.5552021374961895,39.53382201937108
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,1,10,,,,144000.0,144000.0,24.0,0.0,144024.0,10.0,10.0,cyclic CD sweep,0.19047619047619047,285,21.19060232083315,2.1201693757211295,0.2269105783355917,34.72954085533313
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,1,10,1.0,0.11814070899477513,34.877420297043614,144000.0,432000.0,48.0,72.0,432120.0,10.0,30.0,cached full-gradient evaluation,0.5225225225225225,81,19.45921386948496,0.3887809243729379,0.280070914372074,35.91064558044359
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,1,20,,,,288000.0,288000.0,24.0,0.0,288024.0,20.0,20.0,cyclic CD sweep,0.19047619047619047,285,21.190447451092332,2.1200145059803113,0.22693712327961993,34.729264553111115
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,1,20,1.0,0.11814070899477513,31.779189414334684,288000.0,864000.0,48.0,72.0,864120.0,20.0,60.0,cached full-gradient evaluation,0.6041666666666666,66,19.126781979292605,0.05634903418058457,0.08539410005107873,33.459390557076446
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,1,50,,,,720000.0,720000.0,24.0,0.0,720024.0,50.0,50.0,cyclic CD sweep,0.19047619047619047,285,21.190447380153458,2.120014435041437,0.22693713872532636,34.7292643979811
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,1,50,1.0,0.11814070899477513,30.343956291671862,720000.0,2160000.0,48.0,72.0,2160120.0,50.0,150.0,cached full-gradient evaluation,0.6373626373626373,61,19.07096587481884,0.0005329297068179528,0.006711832613338298,32.366628787780456
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,1,100,,,,1440000.0,1440000.0,24.0,0.0,1440024.0,100.0,100.0,cyclic CD sweep,0.19047619047619047,285,21.190447380153458,2.120014435041437,0.22693713872532595,34.7292643979811
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,1,100,1.0,0.11814070899477513,30.23348898595459,1440000.0,4320000.0,48.0,72.0,4320120.0,100.0,300.0,cached full-gradient evaluation,0.6373626373626373,61,19.070459981517015,2.703640499390758e-05,0.007092829565949421,32.284813357323934
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,5,5,,,,72000.0,72000.0,24.0,0.0,72024.0,25.0,25.0,cyclic CD sweep,0.21660649819494585,247,21.290006633724108,2.219573688612087,0.2613618794814162,36.842360815896335
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,5,5,1.0,0.11814070899477513,31.669791092276235,72000.0,216000.0,48.0,72.0,216120.0,25.0,75.0,cached full-gradient evaluation,0.6428571428571429,54,19.138839367197548,0.06840642208552694,0.11295592851609926,33.5058708874391
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,5,10,,,,144000.0,144000.0,24.0,0.0,144024.0,50.0,50.0,cyclic CD sweep,0.21660649819494585,247,21.29000441251663,2.2195714674046094,0.2613615161062738,36.842354074460744
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,5,10,1.0,0.11814070899477513,30.630853195261736,144000.0,432000.0,48.0,72.0,432120.0,50.0,150.0,cached full-gradient evaluation,0.6585365853658537,52,19.090120942491993,0.019687997379971733,0.06337380324705705,32.693743904995976
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,5,20,,,,288000.0,288000.0,24.0,0.0,288024.0,100.0,100.0,cyclic CD sweep,0.21660649819494585,247,21.290004412505823,2.219571467393802,0.26136151610636105,36.84235407436109
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,5,20,1.0,0.11814070899477513,30.48148506891929,288000.0,864000.0,48.0,72.0,864120.0,100.0,300.0,cached full-gradient evaluation,0.675,50,19.087646520311388,0.01721357519936717,0.05519500035663816,32.587158518332394
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,5,50,,,,720000.0,720000.0,24.0,0.0,720024.0,250.0,250.0,cyclic CD sweep,0.21660649819494585,247,21.29000441250582,2.2195714673937985,0.2613615161063606,36.842354074361076
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,5,50,0.3,0.03544221269843254,30.329778376242686,720000.0,2160000.0,48.0,72.0,2160120.0,250.0,750.0,cached full-gradient evaluation,0.6444444444444445,60,19.0722416814778,0.001808736365777719,0.020991983987177443,32.38698678115667
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,5,100,,,,1440000.0,1440000.0,24.0,0.0,1440024.0,500.0,500.0,cyclic CD sweep,0.21660649819494585,247,21.290004412505816,2.219571467393795,0.2613615161063606,36.84235407436109
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,5,100,0.3,0.03544221269843254,30.305217155538287,1440000.0,4320000.0,48.0,72.0,4320120.0,500.0,1500.0,cached full-gradient evaluation,0.651685393258427,59,19.072074030759506,0.0016410856474848856,0.018320789845002405,32.371422554269515
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,20,5,,,,72000.0,72000.0,24.0,0.0,72024.0,100.0,100.0,cyclic CD sweep,0.23076923076923078,230,21.35574190999703,2.285308964885008,0.2821107549383616,37.07957224267888
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,20,5,0.3,0.03544221269843254,31.489897333201853,72000.0,216000.0,48.0,72.0,216120.0,100.0,300.0,cached full-gradient evaluation,0.6585365853658537,52,19.136936734903937,0.06650378979191629,0.110180936826614,33.359841980342715
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,20,10,,,,144000.0,144000.0,24.0,0.0,144024.0,200.0,200.0,cyclic CD sweep,0.23076923076923078,230,21.35574190999703,2.285308964885008,0.2821107549383513,37.07957224267888
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,20,10,0.3,0.03544221269843254,30.654919736579306,144000.0,432000.0,48.0,72.0,432120.0,200.0,600.0,cached full-gradient evaluation,0.6923076923076923,48,19.102252661078023,0.03181971596600164,0.08633671541861676,32.7310531088319
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,20,20,,,,288000.0,288000.0,24.0,0.0,288024.0,400.0,400.0,cyclic CD sweep,0.23076923076923078,230,21.35574190999703,2.285308964885008,0.28211075493835186,37.079572242678886
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,20,20,0.3,0.03544221269843254,30.542860779369416,288000.0,864000.0,48.0,72.0,864120.0,400.0,1200.0,cached full-gradient evaluation,0.7012987012987013,47,19.098842231012032,0.028409285900011128,0.07882900970793277,32.64557044333651
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,20,50,,,,720000.0,720000.0,24.0,0.0,720024.0,1000.0,1000.0,cyclic CD sweep,0.23076923076923078,230,21.35574190999703,2.285308964885008,0.2821107549383513,37.07957224267888
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,20,50,0.1,0.011814070899477514,30.35398485601572,720000.0,2160000.0,48.0,72.0,2160120.0,1000.0,3000.0,cached full-gradient evaluation,0.6666666666666666,57,19.074797329759946,0.004364384647924879,0.035983125872457444,32.42888316761914
