active,TP,FP,FN,TN,precision,recall,F1,jaccard,method,E,rounds,local_epochs,upload_kib,coef_err,test_mse,lam,scenario,rep,final_obj,tau
59,27,32,3,538,0.4576271186440678,0.9,0.6067415730337079,0.4354838709677419,FedAvg-ST,5.0,5.0,20.0,70.3125,2.949431392702617,28.61022666136349,0.4069108814691199,Independent,2022,16.833306643961663,0.070526051435653
178,28,150,2,420,0.1573033707865168,0.9333333333333332,0.2692307692307693,0.1555555555555555,FedAvg,8.0,4.0,32.0,56.25,2.6999472904271578,27.298957736623255,0.4069108814691199,Independent,2022,17.7555455140174,
59,27,32,3,538,0.4576271186440678,0.9,0.6067415730337079,0.4354838709677419,FedAvg-ST,8.0,5.0,32.0,70.3125,2.950905491280815,28.621422221700023,0.4069108814691199,Independent,2022,16.836295215904418,0.070526051435653
178,28,150,2,420,0.1573033707865168,0.9333333333333332,0.2692307692307693,0.1555555555555555,FedAvg,10.0,3.0,30.0,42.1875,2.700110736172598,27.300281171289235,0.4069108814691199,Independent,2022,17.756476385341532,
59,27,32,3,538,0.4576271186440678,0.9,0.6067415730337079,0.4354838709677419,FedAvg-ST,10.0,4.0,30.0,56.25,2.951052184697626,28.62258617234476,0.4069108814691199,Independent,2022,16.836520080966057,0.070526051435653
178,28,150,2,420,0.1573033707865168,0.9333333333333332,0.2692307692307693,0.1555555555555555,FedAvg,15.0,3.0,45.0,42.1875,2.700208248890253,27.300991576486165,0.4069108814691199,Independent,2022,17.756765162708977,
59,27,32,3,538,0.4576271186440678,0.9,0.6067415730337079,0.4354838709677419,FedAvg-ST,15.0,4.0,45.0,56.25,2.9511386879367527,28.62323291647261,0.4069108814691199,Independent,2022,16.836618108183124,0.070526051435653
178,28,150,2,420,0.1573033707865168,0.9333333333333332,0.2692307692307693,0.1555555555555555,FedAvg,20.0,2.0,40.0,28.125,2.700217265866544,27.30105292189452,0.4069108814691199,Independent,2022,17.756775195431533,
59,27,32,3,538,0.4576271186440678,0.9,0.6067415730337079,0.4354838709677419,FedAvg-ST,20.0,3.0,40.0,42.1875,2.951146715272658,28.623290815952856,0.4069108814691199,Independent,2022,16.836625125497932,0.070526051435653
142,29,113,1,457,0.204225352112676,0.9666666666666668,0.3372093023255814,0.2027972027972027,Pooled,,,,,1.7823993178041555,23.26596731616881,0.1828716172607455,Independent,2023,,
100,26,74,4,496,0.26,0.8666666666666667,0.4,0.25,Local-only,,0.0,,0.0,2.912532650394192,29.274046522150886,0.2949480671642807,Independent,2023,,
164,29,135,1,435,0.1768292682926829,0.9666666666666668,0.2989690721649484,0.1757575757575757,One-shot,,1.0,,14.0625,2.8860019283760825,29.26454952330621,0.5010078496422228,Independent,2023,,
