scenario,method,E,n,active_m,TP_m,FP_m,precision_m,recall_m,F1_m,jaccard_m,coef_err_m,test_mse_m,rounds_m,local_epochs_m,vector_kib_m,scalar_kib_m,upload_kib_m,selected_rounds_m,selected_local_epochs_m,selected_vector_kib_m,tuning_rounds_m,total_rounds_m,F1_se,jaccard_se,coef_err_se,test_mse_se,recall_se,precision_se,active_se
Correlated,FedAvg,20.0,200,192.975,27.79,165.185,0.15279140470109598,0.9263333333333335,0.2601435890595054,0.15052754864772416,3.0247131530923124,28.663072710321398,3.61,72.2,50.765625,0.0,50.765625,3.61,72.2,50.765625,0.0,3.61,0.003619747481831901,0.0024363300085880877,0.01712727980633781,0.2401945018117575,0.003541175204840778,0.0025753642734325055,3.6567651733004833
Correlated,FedAvg-1SE,1.0,200,70.735,22.28,48.455,0.36790004379137725,0.7426666666666667,0.4674349216802399,0.3097405340882116,3.7057934621854245,33.675240970971,9.605,9.605,135.0703125,0.0,135.0703125,9.605,9.605,135.0703125,0.0,9.605,0.006547020692507835,0.005594965001104521,0.021955691810035673,0.2987410906030439,0.008873325291618507,0.009434607988172364,2.406090236489616
Correlated,FedAvg-1SE,2.0,200,61.205,22.02,39.185,0.41446515612700224,0.7340000000000001,0.5040504502998046,0.34166441797392383,3.7004572523985626,33.72994082612119,6.375,12.75,89.6484375,0.0,89.6484375,6.375,12.75,89.6484375,0.0,6.375,0.006319690678889121,0.005636533989526861,0.021982022930589474,0.2995806746946741,0.009145391787931988,0.00986068999760672,2.025221589712392
Correlated,FedAvg-1SE,3.0,200,59.73,21.97,37.76,0.4204506190844993,0.7323333333333334,0.5088846916840051,0.34591701850748086,3.6976809482948623,33.72381090612538,5.085,15.255,71.5078125,0.0,71.5078125,5.085,15.255,71.5078125,0.0,5.085,0.006214825187825752,0.005612650156400319,0.021939723148184587,0.2992863720162064,0.00902230624897267,0.009888943337106985,1.8671278294906035
Correlated,FedAvg-1SE,5.0,200,58.86,21.98,36.88,0.424597782736533,0.7326666666666667,0.512654316572319,0.34924969760496016,3.6967900126534996,33.72300022223596,3.915,19.575,55.0546875,0.0,55.0546875,3.915,19.575,55.0546875,0.0,3.915,0.0061405631570445925,0.005584133924687991,0.021935663687125278,0.2991100088000665,0.009016270422314772,0.009849813414800065,1.7709696971833564
Correlated,FedAvg-1SE,8.0,200,58.63,21.955,36.675,0.42533799383978727,0.7318333333333333,0.5131222189042658,0.34967554745330537,3.696654319697197,33.72302751771491,3.13,25.04,44.015625,0.0,44.015625,3.13,25.04,44.015625,0.0,3.13,0.00613773525510992,0.005588309403325034,0.021939723891526482,0.29910014666113754,0.008980086848076415,0.009859188710681472,1.744745305454216
Correlated,FedAvg-1SE,10.0,200,58.555,21.955,36.6,0.42553467451815125,0.7318333333333333,0.5133386319794253,0.3498573072438881,3.696631386402858,33.722922610590416,2.95,29.5,41.484375,0.0,41.484375,2.95,29.5,41.484375,0.0,2.95,0.006126630599671301,0.005580265857940784,0.021940427496164372,0.2991016485985165,0.00898940843362897,0.009848465191739129,1.731988393139472
Correlated,FedAvg-1SE,15.0,200,58.495,21.955,36.54,0.4256116989542002,0.7318333333333333,0.5134406719270647,0.349927221343454,3.6966170682357893,33.72270460743061,2.35,35.25,33.046875,0.0,33.046875,2.35,35.25,33.046875,0.0,2.35,0.006107806809763793,0.005569096723210707,0.021940665293384055,0.2991033009232563,0.00898940843362897,0.009838852139284437,1.7182437788093643
Correlated,FedAvg-1SE,20.0,200,58.47,21.955,36.515,0.4256419664470629,0.7318333333333333,0.5134812846672034,0.34995410106442043,3.696622927500202,33.7227242574109,2.085,41.7,29.3203125,0.0,29.3203125,2.085,41.7,29.3203125,0.0,2.085,0.0060994373975311236,0.005564231937519647,0.02194083119442609,0.2991047027648974,0.00898940843362897,0.009834741328687146,1.7126767964345246
Correlated,FedAvg-P,1.0,200,70.235,23.8,46.435,0.39468165572209296,0.7933333333333333,0.5029272563613776,0.34243645926877336,3.2614300559289076,30.684794293223014,71.52,71.52,1005.75,0.3515625,1006.1015625,15.155,15.155,213.1171875,56.365,72.52,0.007305172945342228,0.006716249753558689,0.023485768000028242,0.28438722168676767,0.007225335411139183,0.010368527517171402,2.1812929813190522
Correlated,FedAvg-P,2.0,200,60.93,23.96,36.97,0.4548079230145351,0.7986666666666667,0.554360009045822,0.3903560712465215,3.271971414736965,30.833759148925125,44.48,88.96,625.5,0.3515625,625.8515625,9.195,18.39,129.3046875,35.285,45.48,0.007259431591101168,0.006915883516887895,0.022849380938869786,0.28658447164831935,0.007131374674349403,0.011008375462964312,1.914524095581671
Correlated,FedAvg-P,3.0,200,58.75,23.785,34.965,0.46551163562978404,0.7928333333333333,0.5622775399347802,0.39820874574228227,3.284287768997271,30.92351187759264,35.15,105.45,494.296875,0.3515625,494.6484375,7.275,21.825,102.3046875,27.875,36.15,0.007302236013825134,0.007071617802541572,0.022317678794413043,0.28781436389223414,0.006961156886080775,0.0110243941558259,1.8015452607784144
Correlated,FedAvg-P,5.0,200,59.08,23.775,35.305,0.46072520251719185,0.7925,0.5589539635455426,0.39477752503580704,3.2919529604497377,30.966638775869914,27.295,136.475,383.8359375,0.3515625,384.1875,5.61,28.05,78.890625,21.685,28.295,0.007203494307159537,0.006960443965649191,0.021758597897916808,0.2858034014252529,0.007062920137664151,0.010814650703353884,1.775508420355637
Correlated,FedAvg-P,8.0,200,59.55,23.81,35.74,0.4587801195607086,0.7936666666666667,0.5573830957322627,0.39344343437998747,3.2956163311246214,30.982954146283028,22.495,179.96,316.3359375,0.3515625,316.6875,4.62,36.96,64.96875,17.875,23.495,0.007286266665248019,0.007067765489286987,0.021593973092199244,0.28505518031609967,0.007023093437322977,0.010962521157704633,1.7930175850508292
Correlated,FedAvg-P,10.0,200,59.725,23.785,35.94,0.4572772719970077,0.7928333333333333,0.5560006462805367,0.3921507028522678,3.2966029906104324,30.987218904536984,20.675,206.75,290.7421875,0.3515625,291.09375,4.21,42.1,59.203125,16.465,21.675,0.007315849319688715,0.007080686910878887,0.021560437440887426,0.28488779757646826,0.007001146512153954,0.010957782424757194,1.8026632656284514
