scenario,E,rounds,metric,contrast,mean,se,n
IID,20,20,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.632079171631793,0.056344490789641107,50
IID,20,20,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.18624988531548525,0.006669859862871259,50
IID,20,20,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.160217281857202,0.20050226443446498,50
IID,20,50,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.44985537039464263,0.020375673340063433,50
IID,20,50,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6401142189949711,0.05702255621143716,50
IID,20,50,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.2076650512647539,0.005981160971701353,50
IID,20,50,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.2743823263799126,0.20577917983628116,50
IID,20,100,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4507192865158806,0.020125112558158936,50
IID,20,100,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6389529905378115,0.05684152453035588,50
IID,20,100,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.20730943966880516,0.005749044574244722,50
IID,20,100,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.278463652371754,0.2060207724313529,50
