scenario,rep,lam,L_max,E,rounds,client_rate,rate_multiplier,validation_mse,selected,F1,active,objective,objective_gap,kkt_mapping,test_mse
IID,5000,0.3596450198881253,8.45756145698442,20,100,0.03547121726821791,0.3,23.28724622428824,False,0.7714285714285715,40,17.017307623399606,0.014958949193655258,0.09104556740461134,28.328949231719903
IID,5000,0.3596450198881253,8.45756145698442,20,100,0.1182373908940597,1.0,23.72914938692164,False,0.8275862068965517,28,17.1329589552873,0.1306102810813492,0.24963307747284197,28.87673387524288
IID,5001,0.4300981548333719,8.445629218284136,1,5,0.011840444023224192,0.1,38.107565493089304,False,0.5473684210526316,65,20.98002058715645,3.0240052795145758,0.9938633377588059,38.357711024515346
IID,5001,0.4300981548333719,8.445629218284136,1,5,0.035521332069672576,0.3,36.161376424915744,False,0.5652173913043478,62,20.259793107029136,2.3037777993872623,0.866842009085302,36.22305544254089
IID,5001,0.4300981548333719,8.445629218284136,1,5,0.11840444023224192,1.0,31.674486982503776,True,0.6024096385542169,53,18.837166150124816,0.881150842482942,0.5278356494517766,31.280873697219583
IID,5001,0.4300981548333719,8.445629218284136,1,10,0.011840444023224192,0.1,37.098492604305235,False,0.5531914893617021,64,20.60088862681881,2.644873319176938,0.929365341027762,37.252925360201985
IID,5001,0.4300981548333719,8.445629218284136,1,10,0.035521332069672576,0.3,33.94505398047115,False,0.5842696629213483,59,19.5112238058952,1.5552084982533252,0.709754687857537,33.7917237134349
IID,5001,0.4300981548333719,8.445629218284136,1,10,0.11840444023224192,1.0,28.813914794392723,True,0.6666666666666666,45,18.211916046615702,0.25590073897382837,0.27057639164756875,28.196586593369613
IID,5001,0.4300981548333719,8.445629218284136,1,20,0.011840444023224192,0.1,35.3807876782307,False,0.5652173913043478,62,19.98922892733032,2.0332136196884463,0.8137721967615126,35.37253152267977
IID,5001,0.4300981548333719,8.445629218284136,1,20,0.035521332069672576,0.3,31.052394098265875,False,0.625,50,18.687591175167174,0.7315758675253008,0.4797828278664662,30.635428039691526
IID,5001,0.4300981548333719,8.445629218284136,1,20,0.11840444023224192,1.0,26.903206947120253,True,0.704225352112676,41,17.98390675405599,0.027891446414116672,0.07718972070180896,26.23383691477898
IID,5001,0.4300981548333719,8.445629218284136,1,50,0.011840444023224192,0.1,31.896207752881843,False,0.6172839506172839,51,18.90812541043132,0.9521101027894474,0.5512098890253744,31.557817648401592
IID,5001,0.4300981548333719,8.445629218284136,1,50,0.035521332069672576,0.3,27.636971662740343,False,0.704225352112676,41,18.049140117058986,0.09312480941711243,0.155556849049313,26.97984863201557
IID,5001,0.4300981548333719,8.445629218284136,1,50,0.11840444023224192,1.0,26.092972095784205,True,0.7575757575757576,36,17.956095458225043,8.015058316956925e-05,0.0034520095749931423,25.523882184899964
IID,5001,0.4300981548333719,8.445629218284136,1,100,0.011840444023224192,0.1,28.993392792649118,False,0.6666666666666666,45,18.247240740479082,0.2912254328372086,0.29291179049361327,28.414506534186955
IID,5001,0.4300981548333719,8.445629218284136,1,100,0.035521332069672576,0.3,26.389356234471894,False,0.7352941176470589,38,17.96048057106522,0.004465263423345078,0.028560658798058136,25.76192645064223
IID,5001,0.4300981548333719,8.445629218284136,1,100,0.11840444023224192,1.0,26.049907049447892,True,0.7692307692307693,35,17.956015318147273,1.0505399217208833e-08,4.110870072915329e-05,25.49516129077298
IID,5001,0.4300981548333719,8.445629218284136,5,5,0.011840444023224192,0.1,34.69757855077919,False,0.5747126436781609,57,19.75764700358521,1.8016316959433354,0.7648494426187151,34.62299941005412
