"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
74.8,30,44.8,0,525.2,0.401069518716578,1,0.572519083969466,0.401069518716578,1.11288614803308,2.27589688605728,"val_1se_localonly",1,6,11,TRUE,NA
31,30,1,0,569,0.967741935483871,1,0.983606557377049,0.967741935483871,0.767960112266438,1.46616262340463,"val_1se_thresh",1,6,11,TRUE,31
174,30,144,0,426,0.172413793103448,1,0.294117647058824,0.172413793103448,0.932883592416377,1.68214910350805,"val_1se",5,6,7,TRUE,174
74.8,30,44.8,0,525.2,0.401069518716578,1,0.572519083969466,0.401069518716578,1.11288614803308,2.27589688605728,"val_1se_localonly",5,6,7,TRUE,NA
30,30,0,0,570,1,1,1,1,0.913167355289276,1.72623326929155,"val_1se_thresh",5,6,7,TRUE,30
174,30,144,0,426,0.172413793103448,1,0.294117647058824,0.172413793103448,0.986857034758939,1.79037441336248,"val_1se",20,6,5,TRUE,174
74.8,30,44.8,0,525.2,0.401069518716578,1,0.572519083969466,0.401069518716578,1.11288614803308,2.27589688605728,"val_1se_localonly",20,6,5,TRUE,NA
30,30,0,0,570,1,1,1,1,0.963457802450173,1.82070031067773,"val_1se_thresh",20,6,5,TRUE,30
142,30,112,0,458,0.211267605633803,1,0.348837209302326,0.211267605633803,0.873286018701015,1.59006393623183,"BIC_corrected",1,6,10,TRUE,142
68.7,30,38.7,0,531.3,0.436681222707424,1,0.60790273556231,0.436681222707424,1.18654228610126,2.60061902032963,"BIC_corrected_localonly",1,6,10,TRUE,NA
30,30,0,0,570,1,1,1,1,0.859474603728478,1.62019548752662,"BIC_corrected_thresh",1,6,10,TRUE,30
146,30,116,0,454,0.205479452054795,1,0.340909090909091,0.205479452054795,1.03154550000623,1.87618523483722,"BIC_corrected",5,6,6,TRUE,146
68.7,30,38.7,0,531.3,0.436681222707424,1,0.60790273556231,0.436681222707424,1.18654228610126,2.60061902032963,"BIC_corrected_localonly",5,6,6,TRUE,NA
30,30,0,0,570,1,1,1,1,1.01309495433525,1.91562171670267,"BIC_corrected_thresh",5,6,6,TRUE,30
147,30,117,0,453,0.204081632653061,1,0.338983050847458,0.204081632653061,1.07146081594975,1.9578933853424,"BIC_corrected",20,6,4,TRUE,147
68.7,30,38.7,0,531.3,0.436681222707424,1,0.60790273556231,0.436681222707424,1.18654228610126,2.60061902032963,"BIC_corrected_localonly",20,6,4,TRUE,NA
30,30,0,0,570,1,1,1,1,1.0504569184822,1.99068893354827,"BIC_corrected_thresh",20,6,4,TRUE,30
