"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
29,12.5,16.5,17.5,553.5,0.431034482758621,0.416666666666667,0.423728813559322,0.268817204301075,1.42128630359141,2.4549334030086,"val_1se_localonly",5,8,3,TRUE,NA
8.5,7.5,1,22.5,569,0.882352941176471,0.25,0.38961038961039,0.241935483870968,1.45797447869372,2.51973362087404,"val_1se_local_thresh",5,8,3,TRUE,NA
12,12,0,18,570,1,0.4,0.571428571428571,0.4,1.44444538206132,2.44382778121796,"val_1se_thresh",5,8,3,TRUE,12
102,26,76,4,494,0.254901960784314,0.866666666666667,0.393939393939394,0.245283018867925,1.22789928354499,2.13972511088706,"BIC_corrected",5,8,4,TRUE,102
49.7,17.8,31.9,12.2,538.1,0.358148893360161,0.593333333333333,0.446675031367629,0.287560581583199,1.27015896783293,2.27233811257734,"BIC_corrected_localonly",5,8,4,TRUE,NA
13.2,11.5,1.7,18.5,568.3,0.871212121212121,0.383333333333333,0.532407407407407,0.362776025236593,1.32448202637375,2.33673479826035,"BIC_corrected_local_thresh",5,8,4,TRUE,NA
14,14,0,16,570,1,0.466666666666667,0.636363636363636,0.466666666666667,1.30403902995811,2.24905357734649,"BIC_corrected_thresh",5,8,4,TRUE,14
79,24,55,6,515,0.30379746835443,0.8,0.440366972477064,0.282352941176471,1.36265884024584,2.32971447093216,"path_best_F1",5,8,4,TRUE,79
264,30,234,0,336,0.113636363636364,1,0.204081632653061,0.113636363636364,1.14986318759002,1.97402571955187,"val_mse",5,9,7,TRUE,264
127.3,21.6,105.7,8.4,464.3,0.16967792615868,0.72,0.274634456452638,0.159174649963154,1.26273641386884,2.26357669103987,"val_mse_localonly",5,9,7,TRUE,NA
19.9,14.3,5.6,15.7,564.4,0.718592964824121,0.476666666666667,0.57314629258517,0.401685393258427,1.26475758113398,2.13826304647147,"val_mse_local_thresh",5,9,7,TRUE,NA
84,25,59,5,511,0.297619047619048,0.833333333333333,0.43859649122807,0.280898876404494,1.43668584853549,2.20515522856304,"val_1se",5,9,4,TRUE,84
42,12.5,29.5,17.5,540.5,0.297619047619048,0.416666666666667,0.347222222222222,0.210084033613445,1.46941575755621,2.32760502014133,"val_1se_localonly",5,9,4,TRUE,NA
11,7,4,23,566,0.636363636363636,0.233333333333333,0.341463414634146,0.205882352941176,1.51148277903813,2.36423418277421,"val_1se_local_thresh",5,9,4,TRUE,NA
9,9,0,21,570,1,0.3,0.461538461538462,0.3,1.51809031192775,2.26197297088747,"val_1se_thresh",5,9,4,TRUE,9
52,17,35,13,535,0.326923076923077,0.566666666666667,0.414634146341463,0.261538461538462,1.53553798938284,2.33636338588753,"BIC_corrected",5,9,3,TRUE,52
25.6,10.8,14.8,19.2,555.2,0.421875,0.36,0.388489208633093,0.241071428571429,1.55676364290447,2.40768351774474,"BIC_corrected_localonly",5,9,3,TRUE,NA
3.9,2.8,1.1,27.2,568.9,0.717948717948718,0.0933333333333333,0.165191740412979,0.090032154340836,1.62400588857525,2.46764706648226,"BIC_corrected_local_thresh",5,9,3,TRUE,NA
6,6,0,24,570,1,0.2,0.333333333333333,0.2,1.58458835261836,2.36048173766852,"BIC_corrected_thresh",5,9,3,TRUE,6
71,18,53,12,517,0.253521126760563,0.6,0.356435643564356,0.216867469879518,1.51831355562446,2.31839211973584,"path_best_F1",5,9,3,TRUE,71
293,30,263,0,307,0.102389078498294,1,0.185758513931889,0.102389078498294,0.978690910732111,1.38399780563465,"val_mse",5,10,8,TRUE,293
117.8,23.8,94,6.2,476,0.202037351443124,0.793333333333333,0.322056833558863,0.191935483870968,1.14210264506253,1.73842074433278,"val_mse_localonly",5,10,8,TRUE,NA
29,17.9,11.1,12.1,558.9,0.617241379310345,0.596666666666667,0.606779661016949,0.435523114355231,1.15325115321964,1.67529694622792,"val_mse_local_thresh",5,10,8,TRUE,NA
126,28,98,2,472,0.222222222222222,0.933333333333333,0.358974358974359,0.21875,1.24117108591194,1.55746754941973,"val_1se",5,10,5,TRUE,126
58.1,19.9,38.2,10.1,531.8,0.342512908777969,0.663333333333333,0.451759364358683,0.291788856304985,1.29722134663465,1.71696619810261,"val_1se_localonly",5,10,5,TRUE,NA
12.2,10.5,1.7,19.5,568.3,0.860655737704918,0.35,0.497630331753554,0.331230283911672,1.36264828602781,1.8284989719863,"val_1se_local_thresh",5,10,5,TRUE,NA
17,16,1,14,569,0.941176470588235,0.533333333333333,0.680851063829787,0.516129032258065,1.2926063439067,1.63256096080661,"val_1se_thresh",5,10,5,TRUE,17
70,26,44,4,526,0.371428571428571,0.866666666666667,0.52,0.351351351351351,1.31976745944931,1.65523547865359,"BIC_corrected",5,10,4,TRUE,70
36.6,15.4,21.2,14.6,548.8,0.420765027322404,0.513333333333333,0.462462462462463,0.30078125,1.34623746114938,1.76468094065668,"BIC_corrected_localonly",5,10,4,TRUE,NA
10.2,9.4,0.8,20.6,569.2,0.92156862745098,0.313333333333333,0.467661691542289,0.305194805194805,1.38887831876646,1.80701545656504,"BIC_corrected_local_thresh",5,10,4,TRUE,NA
15,14,1,16,569,0.933333333333333,0.466666666666667,0.622222222222222,0.451612903225806,1.3859635195728,1.72661470601157,"BIC_corrected_thresh",5,10,4,TRUE,15
114,26,88,4,482,0.228070175438596,0.866666666666667,0.361111111111111,0.220338983050847,1.44016376157497,1.79210103160419,"path_best_F1",5,10,4,TRUE,114
241,28,213,2,357,0.116182572614108,0.933333333333333,0.206642066420664,0.11522633744856,1.12089314225865,1.67311871475322,"val_mse",5,11,6,TRUE,241
104.3,22.7,81.6,7.3,488.4,0.217641418983701,0.756666666666667,0.338049143708116,0.203405017921147,1.24056438759066,1.96169979450157,"val_mse_localonly",5,11,6,TRUE,NA
20.7,14.3,6.4,15.7,563.6,0.690821256038647,0.476666666666667,0.564102564102564,0.392857142857143,1.25642158146231,1.89744902152237,"val_mse_local_thresh",5,11,6,TRUE,NA
64,23,41,7,529,0.359375,0.766666666666667,0.48936170212766,0.323943661971831,1.44589974564681,2.03590383974208,"val_1se",5,11,3,TRUE,64
33.1,13,20.1,17,549.9,0.392749244712991,0.433333333333333,0.412044374009509,0.259481037924152,1.46713476957579,2.12140144910623,"val_1se_localonly",5,11,3,TRUE,NA
7.3,6.8,0.5,23.2,569.5,0.931506849315068,0.226666666666667,0.364611260053619,0.222950819672131,1.50093510130047,2.1982761203059,"val_1se_local_thresh",5,11,3,TRUE,NA
12,12,0,18,570,1,0.4,0.571428571428571,0.4,1.4824090724254,2.10282671532436,"val_1se_thresh",5,11,3,TRUE,12
47,19,28,11,542,0.404255319148936,0.633333333333333,0.493506493506494,0.327586206896552,1.47677374020366,2.06951681195293,"BIC_corrected",5,11,3,TRUE,47
21.6,10.4,11.2,19.6,558.8,0.481481481481481,0.346666666666667,0.403100775193798,0.252427184466019,1.50007163051765,2.15717366186844,"BIC_corrected_localonly",5,11,3,TRUE,NA
7.4,6.5,0.9,23.5,569.1,0.878378378378378,0.216666666666667,0.347593582887701,0.210355987055016,1.52438106587071,2.21997499197749,"BIC_corrected_local_thresh",5,11,3,TRUE,NA
11,11,0,19,570,1,0.366666666666667,0.536585365853659,0.366666666666667,1.50984359535488,2.1451187296284,"BIC_corrected_thresh",5,11,3,TRUE,11
75,21,54,9,516,0.28,0.7,0.4,0.25,1.44260189086132,2.08351080566849,"path_best_F1",5,11,3,TRUE,75
208,29,179,1,391,0.139423076923077,0.966666666666667,0.243697478991597,0.138755980861244,1.07542936158203,1.60601550275798,"val_mse",5,12,5,TRUE,208
106.7,20.8,85.9,9.2,484.1,0.19493908153702,0.693333333333333,0.304316020482809,0.17946505608283,1.19663057264874,1.89111209977987,"val_mse_localonly",5,12,5,TRUE,NA
22.2,15.5,6.7,14.5,563.3,0.698198198198198,0.516666666666667,0.593869731800766,0.422343324250681,1.20657171926242,1.86617516373851,"val_mse_local_thresh",5,12,5,TRUE,NA
85,28,57,2,513,0.329411764705882,0.933333333333333,0.48695652173913,0.32183908045977,1.32612042156703,1.86708652859426,"val_1se",5,12,4,TRUE,85
44.1,15.8,28.3,14.2,541.7,0.35827664399093,0.526666666666667,0.426450742240216,0.271012006861063,1.37505961006294,2.02122893698026,"val_1se_localonly",5,12,4,TRUE,NA
11.9,8.9,3,21.1,567,0.747899159663866,0.296666666666667,0.424821002386635,0.26969696969697,1.42825356535031,2.0755094997549,"val_1se_local_thresh",5,12,4,TRUE,NA
14,14,0,16,570,1,0.466666666666667,0.636363636363636,0.466666666666667,1.38987433959221,1.96123517576559,"val_1se_thresh",5,12,4,TRUE,14
85,28,57,2,513,0.329411764705882,0.933333333333333,0.48695652173913,0.32183908045977,1.29823439541668,1.8480754970751,"BIC_corrected",5,12,4,TRUE,85
44.5,16.8,27.7,13.2,542.3,0.37752808988764,0.56,0.451006711409396,0.291161178509532,1.35061804646756,2.00620046741146,"BIC_corrected_localonly",5,12,4,TRUE,NA
13.6,9.8,3.8,20.2,566.2,0.720588235294118,0.326666666666667,0.44954128440367,0.289940828402367,1.40713283833791,2.03972726877981,"BIC_corrected_local_thresh",5,12,4,TRUE,NA
13,13,0,17,570,1,0.433333333333333,0.604651162790698,0.433333333333333,1.36776577803244,1.94502348449864,"BIC_corrected_thresh",5,12,4,TRUE,13
118,28,90,2,480,0.23728813559322,0.933333333333333,0.378378378378378,0.233333333333333,1.27694621595428,1.85455567716891,"path_best_F1",5,12,4,TRUE,118
217,28,189,2,381,0.129032258064516,0.933333333333333,0.226720647773279,0.127853881278539,1.1291622543505,1.42614875373379,"val_mse",5,13,5,TRUE,217
106.1,22.1,84,7.9,486,0.208294062205467,0.736666666666667,0.324761204996326,0.193859649122807,1.22120891290769,1.63098079141436,"val_mse_localonly",5,13,5,TRUE,NA
