scenario,rep,lam,L_max,common_setup_scalar_bytes,dual_rate_setup_scalar_bytes,dual_all_E_vector_bytes,dual_all_E_all_checkpoints_validation_scalar_bytes,cd_all_E_vector_bytes,local_penalty_grid_fits_per_site,dual_local_gram_builds_per_site,dual_total_gradient_evaluations_per_site,cd_total_coordinate_sweeps_per_site,reference_kkt_mapping
IID,5039,0.7183708310946563,8.457972017101124,24,24,12960000,1080,4320000,30,3,7800,2600,1.2924383785417604e-12
IID,5040,0.462046898929972,8.282665083594406,24,24,12960000,1080,4320000,30,3,7800,2600,1.6447954109821694e-12
IID,5041,0.5665765320939582,8.43487297576855,24,24,12960000,1080,4320000,30,3,7800,2600,3.126832126554291e-12
IID,5042,0.7156730596717124,8.477107846723602,24,24,12960000,1080,4320000,30,3,7800,2600,1.1937950628038152e-12
IID,5043,0.43545147831244313,8.290854131206,24,24,12960000,1080,4320000,30,3,7800,2600,6.5886185396379915e-12
IID,5044,0.23502303006162942,8.671113543961393,24,24,12960000,1080,4320000,30,3,7800,2600,2.5034183059879922e-11
IID,5045,0.38649499229848805,8.430009310063527,24,24,12960000,1080,4320000,30,3,7800,2600,8.037376320046974e-12
IID,5046,0.6693663435025191,8.636568926094471,24,24,12960000,1080,4320000,30,3,7800,2600,2.0753676555074207e-12
IID,5047,0.3288338354892296,8.41031279050831,24,24,12960000,1080,4320000,30,3,7800,2600,5.833847294134387e-12
IID,5048,0.353646080828421,8.561740077359007,24,24,12960000,1080,4320000,30,3,7800,2600,4.470868120165505e-12
IID,5049,0.6767833108046186,8.63128668588606,24,24,12960000,1080,4320000,30,3,7800,2600,3.9834802123550617e-13
Correlated,5000,0.43327504214980916,10.855536560394881,24,24,12960000,1080,4320000,30,3,7800,2600,1.563049689679019e-11
Correlated,5001,0.5689932434406748,10.578149237553868,24,24,12960000,1080,4320000,30,3,7800,2600,1.8506807197837816e-11
Correlated,5002,0.3396225883602091,11.107388234736721,24,24,12960000,1080,4320000,30,3,7800,2600,2.919942065915393e-11
Correlated,5003,0.3694359793717664,10.806755208582246,24,24,12960000,1080,4320000,30,3,7800,2600,2.8957503062088108e-11
Correlated,5004,0.3638230439321456,10.736496536779503,24,24,12960000,1080,4320000,30,3,7800,2600,2.956757061411963e-11
Correlated,5005,0.5472535884844028,11.44092456725578,24,24,12960000,1080,4320000,30,3,7800,2600,8.77442563052e-12
Correlated,5006,0.3554128162195052,10.90363987916417,24,24,12960000,1080,4320000,30,3,7800,2600,2.294631151755766e-11
Correlated,5007,0.48649093826342343,10.323289485635113,24,24,12960000,1080,4320000,30,3,7800,2600,7.291833803435566e-12
Correlated,5008,0.37592032921270524,11.040126765090449,24,24,12960000,1080,4320000,30,3,7800,2600,8.68133342990518e-12
Correlated,5009,0.27339049540257315,10.40460376635144,24,24,12960000,1080,4320000,30,3,7800,2600,1.8625365139079975e-11
Correlated,5010,0.4992233893901179,10.58053505905944,24,24,12960000,1080,4320000,30,3,7800,2600,2.836975099285155e-11
Correlated,5011,0.4586911729512215,10.585534814754645,24,24,12960000,1080,4320000,30,3,7800,2600,9.825501523508251e-12
Correlated,5012,0.4094784307542454,11.203744958903085,24,24,12960000,1080,4320000,30,3,7800,2600,1.9534207584825936e-11
Correlated,5013,0.44485409359187955,10.344405594392727,24,24,12960000,1080,4320000,30,3,7800,2600,1.2373102542539982e-11
Correlated,5014,0.3783470181884205,10.743713426274919,24,24,12960000,1080,4320000,30,3,7800,2600,1.5999201963268206e-11
Correlated,5015,0.30232399119938524,11.024891766929532,24,24,12960000,1080,4320000,30,3,7800,2600,1.368130608803142e-11
Correlated,5016,0.37859238389367705,10.559982047460618,24,24,12960000,1080,4320000,30,3,7800,2600,2.116162800547272e-11
Correlated,5017,0.4367920819020675,11.84636563801539,24,24,12960000,1080,4320000,30,3,7800,2600,1.4172975293380574e-11
Correlated,5018,0.4444779853454677,10.99946986810915,24,24,12960000,1080,4320000,30,3,7800,2600,1.7964907339518277e-11
Correlated,5019,0.38241291601023253,11.74410570951524,24,24,12960000,1080,4320000,30,3,7800,2600,2.845801372330925e-11
Correlated,5020,0.37303389708211354,10.641358700591717,24,24,12960000,1080,4320000,30,3,7800,2600,2.376497783285192e-11
Correlated,5021,0.49493237234337223,10.549922432892043,24,24,12960000,1080,4320000,30,3,7800,2600,1.5501377959026286e-11
Correlated,5022,0.31751517789740896,10.7243539770305,24,24,12960000,1080,4320000,30,3,7800,2600,1.4217904631408373e-11
Correlated,5023,0.46361177478783266,10.574303539218752,24,24,12960000,1080,4320000,30,3,7800,2600,8.26963757888377e-12
Correlated,5024,0.3184026496999468,11.10298546478736,24,24,12960000,1080,4320000,30,3,7800,2600,2.707001289792288e-11
Correlated,5025,0.4627543194753227,11.338026116925287,24,24,12960000,1080,4320000,30,3,7800,2600,2.7678526137719928e-11
Correlated,5026,0.24042679919507237,11.070710252173935,24,24,12960000,1080,4320000,30,3,7800,2600,1.9223622693687048e-11
Correlated,5027,0.4040059526518983,10.867952583100868,24,24,12960000,1080,4320000,30,3,7800,2600,1.4198781039809205e-11
Correlated,5028,0.3163738308229307,10.701220550383956,24,24,12960000,1080,4320000,30,3,7800,2600,2.839978252566766e-11
Correlated,5029,0.46895493911051367,10.504291678942753,24,24,12960000,1080,4320000,30,3,7800,2600,1.0884348977668878e-11
Correlated,5030,0.3426800199610439,10.9478560084903,24,24,12960000,1080,4320000,30,3,7800,2600,2.73850941923115e-11
Correlated,5031,0.4484494085483544,11.149918407918854,24,24,12960000,1080,4320000,30,3,7800,2600,1.7333426360899296e-11
Correlated,5032,0.43330755240047075,10.820397301335984,24,24,12960000,1080,4320000,30,3,7800,2600,2.919656183486552e-11
Correlated,5033,0.4263513387223633,10.634983726058332,24,24,12960000,1080,4320000,30,3,7800,2600,2.849863726082924e-11
Correlated,5034,0.3834189393870525,10.686215285450457,24,24,12960000,1080,4320000,30,3,7800,2600,1.0188072607775212e-11
Correlated,5035,0.29081764997327636,11.027934822104314,24,24,12960000,1080,4320000,30,3,7800,2600,3.1425143737218164e-11
Correlated,5036,0.5530155139970941,10.671862452105692,24,24,12960000,1080,4320000,30,3,7800,2600,1.3924805752907332e-11
