active,TP,FP,FN,TN,precision,recall,F1,jaccard,method,E,rounds,local_epochs,selected_rounds,selected_local_epochs,selected_vector_kib,tuning_rounds,tuning_local_epochs,tuning_vector_kib,candidate_count,scalar_rounds,total_rounds,vector_kib,scalar_kib,upload_kib,coef_err,test_mse,lam,fit_converged,local_dual_gap,local_dual_gap_tolerance,solver_iterations,solver_restarts,scenario,rep,max_local_dual_gap_ratio,local_fit_iterations,local_fit_dual_gaps,final_obj,primal_residual,dual_residual_scaled,kkt_residual,fit_tolerance,hit_round_cap,final_update_norm,tau,candidate_rounds,all_candidates_converged
204,29,175,1,395,0.14215686274509803,0.9666666666666667,0.24786324786324787,0.14146341463414633,FedAvg,15.0,3.0,45.0,3.0,45.0,42.1875,0.0,0.0,0.0,1,0,3.0,42.1875,0.0,42.1875,2.825263404060833,31.21642017002938,0.3596450198881253,True,,,,,Independent,5000,,,,18.875939532089724,,,,1e-05,False,6.328074830348568e-06,,,
33,16,17,14,553,0.48484848484848486,0.5333333333333333,0.5079365079365079,0.3404255319148936,FedAvg-1SE,15.0,2.0,30.0,2.0,30.0,28.125,0.0,0.0,0.0,1,0,2.0,28.125,0.0,28.125,3.844377965315482,38.24900392598224,1.103660329907442,True,,,,,Independent,5000,,,,22.183384337377877,,,,1e-05,False,5.522106444733983e-13,,,
46,24,22,6,548,0.5217391304347826,0.8,0.631578947368421,0.46153846153846156,FedAvg-ST,15.0,3.0,45.0,3.0,45.0,42.1875,0.0,0.0,0.0,1,1,4.0,42.1875,2.8125,45.0,3.1921556362154426,33.595039814162384,0.3596450198881253,True,,,,,Independent,5000,,,,17.926260125186552,,,,1e-05,False,6.328074830348568e-06,0.12210916581034144,,
204,29,175,1,395,0.14215686274509803,0.9666666666666667,0.24786324786324787,0.14146341463414633,FedAvg-ST-min,15.0,3.0,45.0,3.0,45.0,42.1875,0.0,0.0,0.0,1,1,4.0,42.1875,2.8125,45.0,2.825263404060833,31.21642017002938,0.3596450198881253,True,,,,,Independent,5000,,,,18.875939532089724,,,,1e-05,False,6.328074830348568e-06,0.0,,
60,24,36,6,534,0.4,0.8,0.5333333333333333,0.36363636363636365,FedAvg-P,15.0,15.0,225.0,3.0,45.0,42.1875,12.0,180.0,168.75,5,1,16.0,210.9375,0.3515625,211.2890625,3.0711757628685543,32.79323607992808,0.3596450198881253,True,,,,,Independent,5000,,,,17.781040130422323,,,,1e-05,False,1.671256581238303e-06,0.08991125497203133,"[3, 3, 3, 3, 3]",True
203,29,174,1,396,0.14285714285714285,0.9666666666666667,0.24892703862660945,0.14215686274509803,FedAvg,20.0,3.0,60.0,3.0,60.0,42.1875,0.0,0.0,0.0,1,0,3.0,42.1875,0.0,42.1875,2.825333699660954,31.217165371697458,0.3596450198881253,True,,,,,Independent,5000,,,,18.876028892817708,,,,1e-05,False,5.57618583224078e-07,,,
33,16,17,14,553,0.48484848484848486,0.5333333333333333,0.5079365079365079,0.3404255319148936,FedAvg-1SE,20.0,2.0,40.0,2.0,40.0,28.125,0.0,0.0,0.0,1,0,2.0,28.125,0.0,28.125,3.8443779653154433,38.24900392598218,1.103660329907442,True,,,,,Independent,5000,,,,22.18338433737799,,,,1e-05,False,1.4503462264155966e-15,,,
46,24,22,6,548,0.5217391304347826,0.8,0.631578947368421,0.46153846153846156,FedAvg-ST,20.0,3.0,60.0,3.0,60.0,42.1875,0.0,0.0,0.0,1,1,4.0,42.1875,2.8125,45.0,3.192269232920994,33.59581460277655,0.3596450198881253,True,,,,,Independent,5000,,,,17.92645662470134,,,,1e-05,False,5.57618583224078e-07,0.12210916581034144,,
203,29,174,1,396,0.14285714285714285,0.9666666666666667,0.24892703862660945,0.14215686274509803,FedAvg-ST-min,20.0,3.0,60.0,3.0,60.0,42.1875,0.0,0.0,0.0,1,1,4.0,42.1875,2.8125,45.0,2.825333699660954,31.217165371697458,0.3596450198881253,True,,,,,Independent,5000,,,,18.876028892817708,,,,1e-05,False,5.57618583224078e-07,0.0,,
60,24,36,6,534,0.4,0.8,0.5333333333333333,0.36363636363636365,FedAvg-P,20.0,15.0,300.0,3.0,60.0,42.1875,12.0,240.0,168.75,5,1,16.0,210.9375,0.3515625,211.2890625,3.07118828892986,32.79341666952657,0.3596450198881253,True,,,,,Independent,5000,,,,17.78116921940278,,,,1e-05,False,1.528840929283557e-07,0.08991125497203133,"[3, 3, 3, 3, 3]",True
