scenario,method,E,rounds,n,F1_mean,F1_se,active_mean,active_se,objective_gap_mean,objective_gap_se,kkt_mapping_mean,kkt_mapping_se,test_mse_mean,test_mse_se
Heterogeneous,FedDualAvg-adapted,5,10,50,0.564069695270248,0.027776850183927917,28.72,2.7827515380373034,0.10051767177978509,0.009746534392071252,0.18072078497845762,0.00609768761445559,43.455893571990124,0.9369799653976487
Heterogeneous,FedDualAvg-adapted,5,20,50,0.5647281813669213,0.026961592558819237,29.74,2.7824244310107895,0.06852684400447567,0.007601385159273673,0.14795494988469302,0.006948863430261725,43.19810286060432,0.9398548618563985
Heterogeneous,FedDualAvg-adapted,5,50,50,0.5441704925142079,0.025417607013179945,33.7,3.143279192441017,0.020335466101498514,0.004753592628448833,0.06879454893330612,0.006042090749574459,42.9896775068354,0.9390467231850343
Heterogeneous,FedDualAvg-adapted,5,100,50,0.5392031931543233,0.0254062045682731,34.78,3.2653143112142216,0.014688401260755933,0.003997048267956521,0.058094704760285776,0.005720784782021372,42.9491043766891,0.9375102760086191
Heterogeneous,FedDualAvg-adapted,20,5,50,0.5873012384230369,0.031107875550205333,22.62,1.959985422686316,0.3327398907841252,0.036443520337108556,0.32304977152789865,0.014613424048701208,44.2589583921536,0.9207478253769785
Heterogeneous,FedDualAvg-adapted,20,10,50,0.5836359303870629,0.029515932208390553,26.3,2.4528617189407353,0.15550102419797296,0.019546071141308016,0.2235860078576903,0.010871547367807629,43.542272288815845,0.9407147532957391
Heterogeneous,FedDualAvg-adapted,20,20,50,0.573393234188986,0.028724305208106465,28.96,2.64913694070583,0.09341349402154872,0.018448992748705866,0.15585693117103405,0.012844940434041198,43.24506519475316,0.9349722701068233
Heterogeneous,FedDualAvg-adapted,20,50,50,0.5488662895479487,0.02762187674044426,31.88,2.9970924685945413,0.03951801711712267,0.013197395822673765,0.09862828397097058,0.011010639518926314,43.03715611332996,0.9421035838209513
Heterogeneous,FedDualAvg-adapted,20,100,50,0.5487029541278576,0.02762126627070346,31.84,3.0027687903272313,0.038893988209377735,0.013207900368053114,0.0988964751795811,0.01101120300100872,43.02370468070665,0.9430346573195945
Heterogeneous,Pooled-common,0,0,50,0.51970988176075,0.023261836616685988,38.76,3.7346212550093143,0.0,0.0,1.1192665232140353e-11,1.4845074978553883e-12,42.87182635528311,0.9324994485037884
IID,FedAvg-CD-common,1,5,50,0.25581050849985326,0.013063635116266086,215.3,11.694905571509784,1.7077831521312368,0.052475750707068634,0.21417516982648555,0.006345973662815602,29.701476043726654,0.5623688629729389
IID,FedAvg-CD-common,1,10,50,0.2562844474716073,0.013030835720252178,214.56,11.57845148435274,1.6960656343479408,0.05140348673624723,0.21272809518144453,0.006197995115011183,29.667359210913123,0.5641931599258353
IID,FedAvg-CD-common,1,20,50,0.25628951756565754,0.013029779933309138,214.54,11.569919125535346,1.695367571886293,0.05134536859485614,0.21258455048072078,0.006168209430954642,29.665726715298362,0.5642983084953235
IID,FedAvg-CD-common,1,50,50,0.25628951756565754,0.013029779933309138,214.54,11.569919125535346,1.6953444535949596,0.05134353810715482,0.21257712059798928,0.006166660343907224,29.665695808203708,0.564300265489188
IID,FedAvg-CD-common,1,100,50,0.25628951756565754,0.013029779933309138,214.54,11.569919125535346,1.6953444528063217,0.05134353804498999,0.21257712028692188,0.0061666602794759025,29.665695805354254,0.5643002656699035
IID,FedAvg-CD-common,5,5,50,0.29531584288136314,0.013957015033557089,177.06,9.494892719515162,1.6143818672955947,0.05438949833127737,0.2248383458340221,0.0058389800492416235,30.31411824065676,0.5575964458204928
