scenario,method,E,n,active_m,TP_m,FP_m,precision_m,recall_m,F1_m,jaccard_m,coef_err_m,test_mse_m,rounds_m,local_epochs_m,upload_kib_m,F1_se,jaccard_se,coef_err_se,test_mse_se,recall_se,precision_se,active_se
Independent,ADMM,,100,43.59,26.26,17.33,0.6811154638958489,0.8753333333333333,0.7380396861400088,0.5968509094059867,2.506057788678495,27.19198695335839,58.69,,825.328125,0.011332178277761557,0.013596608251852205,0.0505189146303031,0.42671144056517785,0.011005763208132837,0.019239373308355436,1.9259050083039142
Independent,FedAvg,1.0,100,253.58,28.66,224.92,0.12477016146335769,0.9553333333333334,0.21827894627656352,0.12383026196768533,2.8471266483856836,28.816898769098394,14.56,14.56,204.75,0.006026103383224606,0.003950211537820993,0.029441006333366666,0.3525146952536491,0.0040816580772931816,0.004032625646954912,8.575536971142643
Independent,FedAvg,2.0,100,230.01,28.49,201.52,0.13702390064612827,0.9496666666666667,0.2367658671533846,0.1358827997832772,2.876285467962511,28.979835309966155,9.17,18.34,128.953125,0.0065357157941309816,0.004379369583470559,0.027894478578128927,0.34672771778742284,0.004250701401156727,0.004447207768934697,8.050340290191388
Independent,FedAvg,3.0,100,219.67,28.36,191.31,0.14209202164396006,0.9453333333333334,0.2443230152338736,0.14077682883304693,2.8902899435737304,29.05868229659234,7.4,22.2,104.0625,0.00651713149766054,0.004405116252227043,0.02739214488326461,0.3448883743227295,0.004277679390184312,0.004476772060704858,7.60503627655232
Independent,FedAvg,5.0,100,211.24,28.27,182.97,0.14567524153113484,0.9423333333333334,0.24979111091865602,0.14420532699979158,2.9013741355641964,29.121237332052278,5.95,29.75,83.671875,0.006219590549758747,0.004229515990875623,0.02704439291882888,0.34364675803296363,0.004286459771622424,0.004308527769827254,6.941270515088457
Independent,FedAvg,8.0,100,207.23,28.23,179.0,0.14729932107202848,0.941,0.2522753677466127,0.14576686229511832,2.906258662350469,29.15088798683592,5.01,40.08,70.453125,0.006067577188624071,0.004146259387691245,0.026896634073319613,0.34280906719949616,0.004364302698844118,0.004225411679160942,6.467304795131533
Independent,FedAvg,10.0,100,205.82,28.22,177.6,0.14781084193692468,0.9406666666666667,0.25307480645638114,0.14626774953147947,2.9076264385856616,29.15932868913249,4.64,46.4,65.25,0.006011909805205502,0.004115481630418123,0.02684939906030395,0.34243196878490434,0.0044590668549160115,0.004193858763064225,6.221669203418619
Independent,FedAvg,15.0,100,203.93,28.2,175.73,0.14836677252767105,0.94,0.25396152527279897,0.14680666296694858,2.9091876315677023,29.168261851920775,3.98,59.7,55.96875,0.0059086461423933185,0.004057788405326604,0.026768032609124387,0.34179235348589887,0.00449466574975495,0.0041348426607153935,5.857831760070695
Independent,FedAvg,20.0,100,203.05,28.21,174.84,0.1487329233019052,0.9403333333333334,0.2545558756932083,0.14717215942701448,2.9099407712594125,29.172429557606122,3.61,72.2,50.765625,0.00584871181388911,0.004023658306245162,0.026706891110265578,0.3414258027847762,0.004401178293408524,0.004100995450730786,5.689017862726769
Independent,FedAvg-ST,1.0,100,45.38,24.02,21.36,0.5764449872663645,0.8006666666666666,0.6543070632887948,0.49336354700837576,3.2080279682162165,31.03248213111504,15.56,14.56,218.8125,0.009464630706055506,0.010298243916183784,0.033248129688646294,0.39804739463818384,0.008233134991272267,0.014794448568674616,1.6160045504486384
Independent,FedAvg-ST,2.0,100,44.78,23.9,20.88,0.5817786341185266,0.7966666666666667,0.6562115122705785,0.4952538818884759,3.2436734220978938,31.249556060823956,10.17,18.34,143.015625,0.009327703825896901,0.01011973089159613,0.032085276779057904,0.3945201544241303,0.00867805519545184,0.014613429773051146,1.670031754370575
